st,naz,pred,id_pr,gl,prc,tip_izv,zap_st,__municipality_id,__municipality_name
1001,Tadej Beočanin,SOCIALNI DEMOKRATI,2072,6158,0.717214,1,3,1,Ajdovščina
,Marko Virag,Ines Forjan in skupina volivcev,3210,2555,1,1,1,2,Beltinci
,Anton Mežan,Iztok Pesrl in skupina volivcev,13453,1849,0.512047,1,1,3,Bled
,Jože Sodja,Peter Klanšček in skupina volivcev,9699,1419,0.540366,1,1,4,Bohinj
,Peter Črnilogar,ANTON ŽERJAV IN SKUPINA VOLIVCEV,4532,1290,0.688367,1,2,5,Borovnica
,Valter Mlekuž,Adem Omerović in skupina volivcev,7502,776,0.506527,1,4,6,Bovec
,Franc Mužič,Klemen Bajt in skupina volivcev,15455,1666,0.582314,1,1,7,Brda
,Metod Ropret,skupina volivcev ,4799,3153,1,1,1,8,Brezovica
,Ivan Molan,DRAŽEN LEVOJEVIĆ IN SKUPINA VOLIVCEV,17457,4898,0.525875,1,1,9,Brežice
16016,Franc Horvat,SLOVENSKA LJUDSKA STRANKA,2945,1228,0.581439,1,1,10,Tišina
,Matija Kovač,GREGOR DELEJA IN SKUPINA VOLIVCEV,20460,9852,0.576883,1,2,11,Celje
,Franc Čebulj,Iztok Čebulj in skupina volivcev,10429,2434,0.707764,1,1,12,Cerklje na Gorenjskem
2002,Marko Rupar,SLOVENSKA DEMOKRATSKA STRANKA,2004,2658,0.50446,1,5,13,Cerknica
,Gašper Uršič,DANILO OBID IN SKUPINA VOLIVCEV,21461,1162,0.58539,1,1,14,Cerkno
,Vera Markoja,"Dušan Utroša in skupina volivcev ""Glas ljudstva - neodvisna lista""",10069,1236,1,1,1,15,Črenšovci
,mag. ROMANA LESJAK,Adrijana Kamnik in skupina volivcev,4402,1180,0.634409,1,2,16,Črna na Koroškem
,Andrej Kavšek,Vladimir Radovič in skupina volivcev,1338,5108,0.872715,1,1,17,Črnomelj
,Vlasta Tetičkovič-Toplak,SDS IN SLS - DRUGAČNI & POVEZANI,23463,746,0.523142,1,1,18,Destrnik
,Alenka Štrucl Dovgan,Jože Femc,26466,893,0.506236,1,2,19,Divača
,Janez Pavlin,Janez Pavlin in skupina volivcev,3177,1052,1,1,1,20,Dobrepolje
,Jure Dolinar,Matej Avbelj in skupina volivcev,10290,2042,0.559759,1,1,21,Dobrova – Polhov Gradec
,Željko Savič,Prof. dr. Janez Grad in skupina volivcev ,10861,1594,1,1,1,22,Dol pri Ljubljani
89089,mag. Renata Kosec,LISTA RENATE KOSEC - lista povezovanja in sodelovanja,1317,7245,0.556537,1,4,23,Domžale
2002,Matej Zorko,SLOVENSKA DEMOKRATSKA STRANKA,27467,917,0.752256,1,1,24,Dornava
,Anton Preksavec,Robert PLIMON in skupina volivcev,29469,1920,0.602258,1,1,25,Dravograd
,Mitja Horvat,Majda Zajc in skupina volivcev,2527,1728,1,1,1,26,Duplek
2002,Milan (Milan Janez) Čadež,SLOVENSKA DEMOKRATSKA STRANKA,3747,1921,1,1,1,27,Gorenja vas – Poljane
,Borut Kolar,Bernardka Kolar in skupina volivcev,31471,1117,0.588514,1,1,28,Gorišnica
,Urška Mauko Tuš,ALEŠ DOKL IN SKUPINA VOLIVCEV,34474,1474,0.51938,1,2,29,Gornja Radgona
,Anton Špeh,Aljaž Špeh in skupina volivcev,7792,598,1,1,1,30,Gornji Grad
17017,Franc Šlihthuber,NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI,3785,731,0.650935,1,1,31,Gornji Petrovci
,dr.  Peter Verlič,SDS - SLOVENSKA DEMOKRATSKA STRANKA in NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI N.Si,3494,4950,0.66586,1,2,32,Grosuplje
,Iztok Fartek,Mihaela KALAMAR in skupina volivcev,1668,594,0.691502,1,1,33,Šalovci
,Marko Funkl,Marko Funkl in skupina volivcev - Lista Naš Hrastnik,6960,2825,0.770595,1,3,34,Hrastnik
,Saša Likavec Svetelšek,Janez Likavec in skupina volivcev,3325,1570,0.677893,1,1,35,Hrpelje – Kozina
,Tomaž Vencelj,ERIK LOGAR IN SKUPINA VOLIVCEV,4679,3103,0.627249,1,3,36,Idrija
,Zlatko Usenik,LISTA ZLATKA USENIKA ZA NAPREDEK OBČINE IG,35475,1401,0.512999,1,1,37,Ig
