MESTNA OBČINA CELJE,Branko Verdev,OBČINSKA ORGANIZACIJA SOCIALNIH DEMOKRATOV CELJE - KONVENCIJA
MESTNA OBČINA CELJE,Matjaž Železnik,MO SDS CELJE
MESTNA OBČINA CELJE,Bojan Šrot,CELJSKA ŽUPANOVA LISTA SLOVENIJE
MESTNA OBČINA CELJE,Mateja Žvižej,"LEVICA, LO CELJE"
MESTNA OBČINA CELJE,Sandi Sendelbah,"FRANC PUSAR IN SKUPINA VOLIVCEV ZA ""ODPRTO CELJE"""
MESTNA OBČINA CELJE,Marko Zidanšek,IO MO SLOVENSKA LJUDSKA STRANKA CELJE
MESTNA OBČINA CELJE,Matevž Vuga,ZBOR ČLANIC IN ČLANOV LOKALNEGA ODBORA SMC CELJE
MESTNA OBČINA KOPER,Aleš Bržan,LAB - LISTA ALEŠA BRŽANA
MESTNA OBČINA KOPER,Marko Brecelj,AKACIJE
MESTNA OBČINA KOPER,Valter Krmac,OLJKA
MESTNA OBČINA KOPER,Olga Franca,BARBARA VERDNIK IN SKUPINA VOLIVCEV
MESTNA OBČINA KOPER,Nevio Miklavčič,SLS - SLOVENSKA LJUDSKA STRANKA
MESTNA OBČINA KOPER,Boris Popovič,KJN - KOPER JE NAŠ
MESTNA OBČINA KOPER,Zlatko Gombar,DD - DOBRA DRŽAVA
MESTNA OBČINA KOPER,Alan Medveš,LEVICA
MESTNA OBČINA KOPER,Gašpar Gašpar Mišič,GAŠPAR GAŠPAR MIŠIČ IN SKUPINA VOLIVCEV
MESTNA OBČINA KOPER,Viktor Markežič,SMC - STRANKA MODERNEGA CENTRA
MESTNA OBČINA KOPER,Silvano Radin,SDS - SLOVENSKA DEMOKRATSKA STRANKA
MESTNA OBČINA KOPER,Danijel Sertič,NSI - NOVA SLOVENIJA - KRŠČANSKI DEMOKRATI
MESTNA OBČINA KOPER,Marijan Križman,SD - SOCIALNI DEMOKRATI
MESTNA OBČINA KRANJ,Ivo Bajec,Eva Bajec in skupina volivcev
MESTNA OBČINA KRANJ,Zoran Stevanović,Robert Kranjec in skupina volivcev
MESTNA OBČINA KRANJ,Iztok Purič,Stranka Alenke Bratušek in Več za Kranj
MESTNA OBČINA KRANJ,Bogomir Šubelj,SNS - SLOVENSKA NACIONALNA STRANKA
MESTNA OBČINA KRANJ,Robert Nograšek,LMŠ - LISTA MARJANA ŠARCA
MESTNA OBČINA KRANJ,Primož Terplan,SMC - STRANKA MODERNEGA CENTRA
