OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA
MESTNA OBČINA KOPER,Marko Brecelj,m,AKACIJE,-1
OBČINA APAČE,Zvonko Bevk,m,ALEKSANDER BEVK IN SKUPINA VOLIVCEV,2
OBČINA TRZIN,Romeo Podlogar,m,ALENKA MARJETIČ ŽNIDER IN SKUPINA VOLIVCEV,0
OBČINA PODVELKA,Janez Otorepec,m,Alenka Medved in skupina volivcev,1
OBČINA KOBILJE,Aleš Lutar,m,ALEŠ LUTAR IN SKUPINA VOLIVCEV,-1
MESTNA OBČINA MARIBOR,Lidija Divjak Mirnik,ž,ALEŠ MIRNIK IN SKUPINA VOLIVCEV,2
OBČINA ILIRSKA BISTRICA,Aleš Zidar,m,Aleš Zidar in skupina volivcev,0
OBČINA TABOR,Ludvik Miklavc,m,Ali Khodary Eisa in skupina volivcev,1
OBČINA GORNJI GRAD,Anton Špeh,m,ALJAŽ ŠPEH IN SKUPINA VOLIVCEV,-1
OBČINA RAVNE NA KOROŠKEM,Tomaž Rožen,m,ALJAŽ VERHOVNIK IN SKUPINA OBČANOV,2
OBČINA VELIKA POLANA,Damijan Jaklin,m,ALOJZ JEREBIC IN SKUPINA VOLIVCEV,0
OBČINA ROGAŠOVCI,Edvard Mihalič,m,ALOJZ MEKIŠ IN SKUPINA VOLIVCEV,1
OBČINA DOLENJSKE TOPLICE,Jože Muhič,m,Alojz Puhan in skupina volivcev,-1
OBČINA JURŠINCI,Donald Rus,m,Alojz Rakuša in skupina volivcev,2
OBČINA ŠMARJE PRI JELŠAH,Janko Šket,m,Alojz Tirgušek in skupina volivcev,0
OBČINA KOSTANJEVICA NA KRKI,Vesna Hrovat,ž,Ana Pajić in skupina volivcev,1
OBČINA POSTOJNA,Igor Marentič,m,ANDREJ BERGINC IN SKUPINA VOLIVCEV,-1
MESTNA OBČINA PTUJ,Andrej Čuš,m,Andrej Čuš in skupina volivcev,2
OBČINA KUNGOTA,Tamara Šnofl,ž,ANDREJ PLOHL IN SKUPINA VOLIVCEV,0
OBČINA LUČE,Ciril Rosc,m,Andrej Šiljar in skupina volivcev,1
OBČINA ŠKOFLJICA,Ivan Jordan,m,Andreja Knez in skupina volivcev,-1
OBČINA LITIJA,Dušan Hauptman,m,Anej Jovanovič in skupina volilcev,2
OBČINA LUČE,Jernej Plankl,m,Angela Moličnik in skupina volivcev,0
OBČINA ŠMARJEŠKE TOPLICE,Anica Turk Potočar,ž,ANICA TURK POTOČAR IN SKUPINA VOLIVCEV,1
OBČINA SVETA ANA,Drago Weinhandl,m,Anica Weinhandl in skupina volivcev,0
OBČINA VITANJE,Andraž Pogorevc,m,ANITA POGOREVC IN SKUPINA VOLIVCEV,0
OBČINA ŠMARJE PRI JELŠAH,Matija Čakš,m,Anton Guzej in skupina volivcev,0
OBČINA PIRAN,Tomaž Gantar,m,Antonija Senčar in skupina volivcev,0
OBČINA VRANSKO,Arnold Marko,m,"ANUŠKA KRIŽNIK IN SKUPINA VOLIVCEV ""ZA NOV ZAGON""",0
OBČINA BLED,Janez Fajfar,m,ANŽE LOGAR IN SKUPINA VOLIVCEV,0
OBČINA KOMEN,Goran Živec,m,Anže Žvanut in skupina volivcev,0
OBČINA LOVRENC NA POHORJU,Marko Rakovnik,m,Anžej Bečan in skupina volivcev,0
OBČINA PODVELKA,Miroslav Reš,m,Barbara Reš in skupina volivcev,0
MESTNA OBČINA KOPER,Olga Franca,f,BARBARA VERDNIK IN SKUPINA VOLIVCEV,0
OBČINA MIRNA,Dušan Skerbiš,m,BARICA KRALJEVSKI IN SKUPINA VOLIVCEV,0
OBČINA LUKOVICA,Vincenc Dragar,m,Bernard Urbanija in skupina volivcev,0
OBČINA ŠMARJEŠKE TOPLICE,Bernardka Krnc,ž,BERNARDKA KRNC IN SKUPINA VOLIVCEV,0
OBČINA REČICA OB SAVINJI,Branko Hriberšek,m,Blaž Bitenc in skupina volivcev,0
OBČINA ŠTORE,Bojan Karlovčec,m,"BOJAN KARLOVČEC IN SKUPINA VOLIVCEV ""LISTA ZA INOVATIVNO OBČINO""",0
OBČINA IDRIJA,Miranda Groff Ferjančič,ž,Bojan Sever in skupina volivcev,0
OBČINA CERKLJE NA GORENJSKEM,Luka Štumbereger,m,Boris Rezar in skupina volivcev,0
OBČINA STRAŽA,Samo Jakljič,m,BORUT LIKAR IN SKUPINA VOLIVCEV,0
OBČINA VIDEM,Boris Novak,m,Borut Novak in skupina volivcev,0
OBČINA ORMOŽ,Danilo Kosi,m,Boško Miličković in skupina volivcev,0
MESTNA OBČINA NOVO MESTO,Gregor Macedoni,m,Boštjan Grobler in skupina volivcev,0
OBČINA BOROVNICA,Igor Trček,m,BOŠTJAN HRIBAR IN SKUPINA VOLIVCEV,0
MESTNA OBČINA SLOVENJ GRADEC,Andrej Čas,m,BOŠTJAN RIGELNIK IN SKUPINA VOLIVCEV,0
MESTNA OBČINA MARIBOR,Melita Petelin,ž,BOŽIDAR KASTELIC IN SKUPINA VOLILCEV,0
OBČINA HRASTNIK,Božo Majcen,m,"Božo Majcen in skupina volivcev ""LISTA SREČNO, HRASTNIK""",0
OBČINA ŠMARJE PRI JELŠAH,David Stupica,m,Branka Kovačič in skupina volivcev,0
OBČINA RADOVLJICA,Branko Fajfar,m,Branko Fajfar in skupina volivcev,0
OBČINA TREBNJE,Alojzij Kastelic,m,Branko Meglič in skupina volivcev,0
OBČINA SVETA TROJICA V SLOVENSKIH GORICAH,Darko Fras,m,BRANKO NOVAK in skupina volivcev,0
OBČINA LENDAVA,Franc Laj,m,BRIGITA LAJ IN SKUPINA VOLIVCEV,0
OBČINA SREDIŠČE OB DRAVI,Renata Požgan Bubek,ž,BUBEK CIRIL IN SKUPINA VOLIVCEV,0
MESTNA OBČINA CELJE,Bojan Šrot,m,CELJSKA ŽUPANOVA LISTA SLOVENIJE,0
OBČINA GORNJI PETROVCI,Jože Balek,m,Cvetka Berke in skupina volivcev,0
OBČINA LOGATEC,Berto Menard,m,DAMJAN MENARD IN SKUPINA VOLIVCEV,0
OBČINA CERKVENJAK,Marjan Žmavc,m,Damjan Žmavc in skupina volivcev,0
OBČINA MIRNA PEČ,Andrej Kastelic,m,DAMJAN ZUPANČIČ in skupina volivcev,0
OBČINA VUZENICA,Franjo Golob,m,DANICA GOLOB IN SKUPINA VOLIVCEV,0
OBČINA VRHNIKA,Daniel Cukjati,m,Daniel CUKJATI in skupina volivcev,0
OBČINA ORMOŽ,Davorin Korpar,m,Danilo Lukner in skupina volivcev,0
OBČINA CERKNO,Stanko Močnik,m,Danilo Sedej in skupina volivcev,0
OBČINA ANKARAN,Gregor Strmčnik,m,Darij Dujmovič in skupina volivcev,0
OBČINA KRANJSKA GORA,Janez Hrovat,m,Darja Hrovat in skupina volivcev,0
OBČINA APAČE,Zlatko Grilanc,m,DARKO KEGL IN SKUPINA VOLIVCEV,0
OBČINA CANKOVA,Danilo Kacijan,m,Darko Kerec in skupina volivcev,0
OBČINA ŠMARTNO PRI LITIJI,Rajko Meserko,m,DARKO VIDIC IN SKUPINA VOLIVCEV,0
OBČINA ŠENTILJ,Štefan Žvab,m,DAVID KOS IN SKUPINA VOLIVCEV,0
OBČINA DIVAČA,Anton Može,m,DOBRA DRŽAVA,0
OBČINA KRŠKO,Božidar Resnik,m,DOBRA DRŽAVA,0
OBČINA ŠEMPETER-VRTOJBA,Darjo Šaver,m,DOBRA DRŽAVA,0
OBČINA ŽUŽEMBERK,Darko Pucelj,m,DOBRA DRŽAVA,0
OBČINA ŠKOFLJICA,Franc Pavlinjek,m,DOBRA DRŽAVA,0
OBČINA IZOLA,Igor Crnić,m,DOBRA DRŽAVA,0
OBČINA KOSTANJEVICA NA KRKI,Marjan Jerele,m,DOBRA DRŽAVA,0
OBČINA MIKLAVŽ NA DRAVSKEM POLJU,Urška Makovec,ž,DOBRA DRŽAVA,0
MESTNA OBČINA KOPER,Zlatko Gombar,m,DOBRA DRŽAVA,0
MESTNA OBČINA MARIBOR,Andrej Fištravec,m,DDR. MATJAŽ MULEJ IN SKUPINA VOLIVCEV,0
OBČINA IZOLA,Dario Madžarević,m,DEAN KLEVA IN SKUPINA VOLIVCEV,0
OBČINA IZOLA,Milan Bogatič,m,DEAN VATOVEC IN SKUPINA VOLIVCEV,0
OBČINA STARŠE,Domen Majcen,m,DEJAN BERANIČ IN SKUPINA VOLIVCEV,0
OBČINA KOZJE,Peter Kozmus,m,DEJAN GUČEK IN SKUPINA VOLIVCEV,0
OBČINA RAZKRIŽJE,Stanko Ivanušič,m,DEJAN ROB IN SKUPINA VOLIVCEV,0
OBČINA TRBOVLJE,Gorazd Kajič,m,DESUS,0
OBČINA MOZIRJE,Anton Rifelj,m,DESUS,0
OBČINA VIDEM,Božidar Varnica,m,DESUS,0
OBČINA IZOLA,Danilo Markočič,m,DESUS,0
OBČINA RADENCI,Drago Kocbek,m,DESUS,0
OBČINA BOHINJ,Emil Šubelj,m,DESUS,0
OBČINA ŠENTJERNEJ,Franc Hudoklin,m,DESUS,0
OBČINA TIŠINA,Franc Kovač,m,DESUS,0
OBČINA JESENICE,Gordana Ana Višnar Župančič,ž,DESUS,0
OBČINA DOBRNA,Mateja Kreuh,ž,DESUS,0
OBČINA PODVELKA,Milan Čurin,m,DESUS,0
OBČINA MIKLAVŽ NA DRAVSKEM POLJU,Peter Rodeš,m,DESUS,0
OBČINA APAČE,Silva Vračko,ž,DESUS,0
OBČINA POSTOJNA,Stanko Markovčič,m,DESUS,0
OBČINA KAMNIK,Štefan Virjent,m,DESUS,0
MESTNA OBČINA MARIBOR,Uroš Prikl,m,DESUS,0
OBČINA RAVNE NA KOROŠKEM,Zlatko Halilovič,m,DESUS,0
OBČINA NAKLO,Primož Povše,m,DESUS,0
OBČINA ČRNOMELJ,Mojca Čemas Stjepanovič,ž,DESUS,0
OBČINA STARŠE,Bojan Kirbiš,m,DESUS,0
OBČINA GORNJA RADGONA,Mitja Ficko,m,DOBRA DRŽAVA,0
MESTNA OBČINA LJUBLJANA,Smiljan Mekicar,m,DOBRA DRŽAVA,0
OBČINA CERKNO,Gašper Uršič,m,Domen Uršič in skupina volivcev,0
OBČINA STRAŽA,Franc Plut,m,DOMINIK AVGUŠTIN IN SKUPINA VOLIVCEV,0
OBČINA IDRIJA,Gašper Ferjan,m,DP - DAVKOPLAČEVALCI SE NE DAMO VEČ!,0
OBČINA MORAVČE,Pavel Puhan,m,DP - DAVKOPLAČEVALCI SE NE DAMO VEČ!,0
MESTNA OBČINA NOVA GORICA,Matej Arčon,m,dr. BRANKO MARUŠIČ IN SKUPINA VOLIVCEV,0
