ID,Občina/Mestna občina,Občina,Izvaja PP,Zaveza PP,Župan,Spol,Email,Dokazilo,Komentar,,,,,
1,Občina,Ajdovščina,TRUE,TRUE,Tadej Beočanin,m,obcina@ajdovscina.si,https://ajdovscina.si/mojapobuda/moja_pobuda/,,x,,,,
213,Občina,Ankaran,TRUE,TRUE,Gregor Strmčnik,m,info@obcina-ankaran.si,https://sodelujem.obcina-ankaran.si/,,x,,,,
195,Občina,Apače,FALSE,FALSE,dr. Andrej Steyer,m,info@obcina-apace.si,,,x,,,,
2,Občina,Beltinci,FALSE,FALSE,Marko Virag,m,obcina@beltinci.si,,,x,,,,
148,Občina,Benedikt,TRUE,FALSE,mag. Milan Repič,m,obcina@benedikt.si,https://www.benedikt.si/objava/804049,"Nazadnje so glasovali septembra 23, nikjer nisem zasledil objave o razglasitvi rezultatov https://www.benedikt.si/objava/816773",x,POSLAT VPRAŠANJE,"Saša Kotnjek: Po izvedenem zbiranju predlogov in glasovanju, sta bila izbrana in izvedena projekta",,
149,Občina,Bistrica ob Sotli,FALSE,FALSE,Franjo Debelak,m,obcina@bistricaobsotli.si,,,x,,,,
3,Občina,Bled,FALSE,FALSE,Anton Mežan,m,obcina@bled.si,,,x,,,,
150,Občina,Bloke,FALSE,FALSE,Jože Doles,m,obcina.bloke@bloke.si,,,x,,,,
4,Občina,Bohinj,TRUE,TRUE,Jože Sodja,m,obcina@bohinj.si,https://obcina.bohinj.si/vsebina/participativni-proracun-2023,Nazadnje so glasovali aprila 23,x,POSLAT VPRAŠANJE,ali so potem še izvedli?,,x
5,Občina,Borovnica,FALSE,FALSE,Peter Črnilogar,m,obcina@borovnica.si,,,x,,,,
6,Občina,Bovec,TRUE,FALSE,Valter Mlekuž,m,obcina.info@bovec.si,https://obcina.bovec.si/objave/290,Zamenjal link na landing page za pp,x,,,,
151,Občina,Braslovče,FALSE,FALSE,Tomaž Žohar,m,obcina@braslovce.si,,,x,,,,
7,Občina,Brda,TRUE,FALSE,Franc Mužič,m,info@obcina-brda.si,https://www.obcina-brda.si/sl/za-obcane/participativni-proracun/,"Zamenjal link na landing page za pp, zbiranje predlogov je blo do 30.9.2025 ma glasovanja še ni blo",x,POSLAT VPRAŠANJE,kje so rezultati?,na sajtu je napis,x
9,Občina,Brežice,FALSE,TRUE,Ivan Molan,m,obcina.brezice@brezice.si,https://www.brezice.si/sl/novice/2021092216550921/moja-skupnost--sodelujem!,"nazadnje izvedli v 2021, nič v tem mandatu",x,,,,
8,Občina,Brezovica,FALSE,FALSE,Metod Ropret,m,info@brezovica.si,,,x,,,,
152,Občina,Cankova,FALSE,FALSE,Danilo Kacijan,m,tajnistvo@obcina-cankova.si,,,x,,,,
