OBČINA,KANDIDAT,SPOL,PREDLAGATELJ,OBLJUBA,ZMAGA,IZVAJA PP,PRVI DROPDOWN,DRUGI DROPDOWN,MAIL,LINK DO PP
MESTNA OBČINA KOPER,Aleš Bržan,m,LAB - Lista Aleša Bržana,1,1,1,1,0,zupan@koper.si,https://predlagam-odlocam.koper.si/
MESTNA OBČINA MARIBOR,Aleksander Saša Arsenovič,m,SMC,1,1,1,1,0,zupan@maribor.si,https://www.mariborsodeluj.si/
MESTNA OBČINA NOVA GORICA,Klemen Miklavič,m,Luka Manojlović in skupina volivcev,1,1,1,1,0,mestna.obcina@nova-gorica.si,https://www.nova-gorica.si/proracun/participativni-proracun/
OBČINA AJDOVŠČINA,Tadej Beočanin,m,SD,1,1,1,1,0,obcina@ajdovscina.si,https://www.ajdovscina.si/mojapobuda/
OBČINA BOHINJ,Jože Sodja,m,Mitja Bajrič in skupina volivcev,1,1,1,1,0,obcina@bohinj.si,https://obcina.bohinj.si/vsebina/participativni-proracun-2021
OBČINA BREŽICE,Ivan Molan,m,Dražen Levojević in skupina volivcev,0,1,1,1,0,obcina.brezice@brezice.si,https://www.brezice.si/sl/novice/2019090512474423/Moja%20skupnost-sodelujem
OBČINA DOL PRI LJUBLJANI,Željko Savič,m,Lista Sotočje,0,1,1,1,0,zeljko.savic@dol.si,https://www.dol.si/sl/content/e-obcina/participativni-proracun.html
OBČINA DRAVOGRAD,Marijana Cigala,ž,Srečko Podojstršek in skupina volilcev,0,1,1,1,0,obcina@dravograd.si,https://www.dravograd.si/objava/304109
OBČINA HRASTNIK,Marko Funkl,m,"Sašo Žekar in skupina volivcev ""Lista naš Hrastnik""",1,1,1,1,0,obcina.hrastnik@hrastnik.si,https://www.hrastnik.e-obcina.si/vsebina/participativni-proracun
OBČINA HRPELJE-KOZINA,Saša Likavec Svetelšek,ž,SD,1,1,1,1,0,obcina.hrpelje-kozina@hrpelje.si,https://pp.hrpelje-kozina.si/
OBČINA IZOLA,Danilo Markočič,m,DeSUS,1,1,1,1,0,danilo.markocic@izola.si,https://izola.si/obcina-izola/participativni-proracun/
OBČINA JESENICE,Blaž Račič,m,Zoran Račič in skupina volivcev,1,1,1,1,0,obcina.jesenice@jesenice.si,https://www.jesenice.si/en/component/k2/itemlist/tag/participativni%20prora%C4%8Dun
OBČINA KOMEN,Erik Modic,m,Valter Makovec in skupina volivcev,1,1,1,1,0,obcina@komen.si,https://www.komen.si/participativni_proracun_2020_2021/
OBČINA KRŠKO,Miran Stanko,m,SLS,1,1,1,1,0,miran.stanko@krsko.si,https://krsko.si/objave/290
OBČINA POSTOJNA,Igor Marentič,m,Andrej Berginc in skupina volivcev,0,1,1,1,0,igor.marentic@postojna.si,https://www.postojna.si/objava/210502
OBČINA RADOVLJICA,Ciril Globočnik,m,Miran Rems in skupina volivcev,0,1,1,1,0,obcina.radovljica@radovljica.si,https://www.radovljica.si/novica/261744
OBČINA RENČE-VOGRSKO,Tarik Žigon,m,Lista za vas,1,1,0,1,0,info@rence-vogrsko.si,
OBČINA SEMIČ,Polona Kambič,ž,SLS,1,1,1,1,0,polona.kambic@semic.si,https://www.semic.si/novica/297650
OBČINA ŠENTILJ,Štefan Žvab,m,David Kos in skupina volivcev,1,1,1,1,0,stefan.zvab@sentilj.si,https://sentilj.si/objava/179029
OBČINA SEVNICA,Srečko Ocvirk,m,SLS,0,1,1,1,0,srecko.ocvirk@obcina-sevnica.si,https://www.eposavje.com/ostale-novice/participativni-proracun-obcine-sevnica-za-2021
OBČINA ŠKOFJA LOKA,Tine Radinja,m,Miha Ješe in skupina volivcev,1,1,1,1,0,zupan@skofjaloka.si,https://www.skofjaloka.si/objava/243910
OBČINA SLOVENSKE KONJICE,Darko Ratajc,m,SD,1,1,1,1,0,info@slovenskekonjice.si,https://www.slovenskekonjice.si/objava/188988
OBČINA SVETA TROJICA V SLOVENSKIH GORICAH,David Klobasa,m,NSI,1,1,1,1,0,obcina@svetatrojica.si,https://www.sv-trojica.si/objava/223301
OBČINA LOGATEC,Berto Menard,m,Damjan Menard in skupina volivcev,1,1,1,1,0,obcina.logatec@logatec.si,https://yrpri.org/group/3661
OBČINA DOMŽALE,Toni Dragar,m,LTD - Toni Dragar - Lista za vse generacije,1,1,0,1,0,"vlozisce@domzale.si, piar@domzale.si",
MESTNA OBČINA KRANJ,Matjaž Rakovec,m,SD,1,1,1,1,0,mok@kranj.si,https://predlagaj.kranj.si/
MESTNA OBČINA MURSKA SOBOTA,Aleksander Jevšek,m,SD,1,1,1,1,0,urad.zupana@murska-sobota.si,https://murska-sobota.si/odlocajmo-skupaj-participativni-proracun-mestne-obcine-murska-sobota-za-leto-2022
MESTNA OBČINA PTUJ,Nuška Gajšek,ž,SD,1,1,1,1,0,nuska.gajsek@ptuj.si,https://www.ptuj.si/objava/383191
MESTNA OBČINA SLOVENJ GRADEC,Tilen Klugler,m,Metka Černjak in skupina volivcev,1,1,1,1,0,info@slovenjgradec.si,https://www.slovenjgradec.si/Mestna-ob%C4%8Dina/Participativni-prora%C4%8Dun
OBČINA BENEDIKT,Milan Repič,m,SLS,1,1,1,1,0,milan.repic@benedikt.si,https://www.benedikt.si/objava/536255
OBČINA BOVEC,Valter Mlekuž,m,SD,1,1,0,1,0,obcina.zupan@bovec.si,
OBČINA BRASLOVČE,Tomaž Žohar,m,Tomaž Žohar in skupina volivcev,1,1,0,1,0,tomaz.zohar@braslovce.si,
OBČINA CERKNO,Gašper Uršič,m,Domen Uršič in skupina volivcev,1,1,0,1,0,obcina@cerkno.si,
OBČINA CIRKULANE,Antonija Žumbar,ž,Jelka Pajnkiher in skupina volivcev,1,1,0,1,0,tajnistvo@cirkulane.si,
OBČINA ČRNA NA KOROŠKEM,Romana Lesjak,ž,Rajko Lesjak in skupina volivcev,1,1,0,1,0,romana.lesjak@crna.si,
OBČINA DOBREPOLJE,Igor Ahačevčič,m,NSI,1,1,0,1,0,igor.ahacevcic@dobrepolje.si,
OBČINA GORNJA RADGONA,Stanko Rojko,m,Robert Žinkovič in skupina volivcev,1,1,0,1,0,obcina@gor-radgona.si,
OBČINA HAJDINA,Stanislav Glažar,m,"SDS, SD, SLS",1,1,0,1,0,stanko.glazar@hajdina.si,
OBČINA ILIRSKA BISTRICA,Emil Rojc,m,SD,1,1,0,1,0,obcina.ilirska-bistrica@ilirska-bistrica.si,
OBČINA KANAL,Tina Gerbec,ž,SD,1,1,0,1,0,obcina.kanal@obcina-kanal.si,
OBČINA LOŠKA DOLINA,Janez Komidar,m,NSI,1,1,0,1,0,obcina@loskadolina.si,
OBČINA MARKOVCI,Milan Gabrovec,m,LDS,1,1,0,1,0,tajnistvo@markovci.si,
OBČINA MEDVODE,Nejc Smole,m,Ladislav Vidmar in skupina volivcev,1,1,1,1,0,obcina@medvode.si,https://www.sodelujinglasuj.si/
OBČINA METLIKA,Darko Zevnik,m,SD,1,1,0,1,0,obcina.metlika@siol.net,
OBČINA MISLINJA,Bojan Borovnik,m,SD,1,1,0,1,0,obcina@mislinja.si,
OBČINA MORAVČE,Milan Balažic,m,Janez Pergar in skupina volivcev,1,1,0,1,0,zupan@moravce.si,
OBČINA PESNICA,Gregor Žmak,m,Marjan Rodež in skupina volivcev; Gregor Žmak in Lista 4x4,1,1,0,1,0,obcina.pesnica@pesnica.si,
OBČINA PIRAN,Đenio Zadković,m,GZOP,1,1,0,1,0,ljubo.bertok@piran.si,
OBČINA PODVELKA,Anton Kovše,m,SD,1,1,0,1,0,obcina@podvelka.si,
OBČINA PREBOLD,Vinko Debelak,m,"SD, SMC",1,1,0,1,0,vinko.debelak@prebold.si,
OBČINA PREDDVOR,Rok Roblek,m,Eva Grah Roblek in skupina volivcev,1,1,0,1,0,obcina.preddvor@siol.net,
OBČINA RAČE-FRAM,Branko Ledinek,m,SLS,1,1,0,1,0,branko.ledinek@race-fram.si,
OBČINA RADEČE,Tomaž Režun,m,SD,1,1,0,1,0,zupan@radece.si,
OBČINA RADLJE OB DRAVI,Alan Bukovnik,m,SD,1,1,0,1,0,radlje.zupan@radlje.si,
